WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
determined;1;adj;2;zdeterminowany;;
difference;1;n;1;różnica;;
diver;2;n;2;nurek;;
documentary;2;n;2;film dokumentalny;;
dream;1;n;1;marzenie;;
dune;2;n;2;wydma;;
duty;1;n;2;obowiązek;;
easy-going;1;adj;3;wyluzowany;swobodny;
edge;2;n;2;krawędź;;
effort;1;n;2;wysiłek;;
embassy;2;n;2;ambasada;;
employee;1;n;2;pracobiorca;;
engineer;1;n;1;inżynier;;
entertainment;1;n;2;rozrywka;;
enthusiastic;1;adj;2;entuzjastyczny;;
environment;2;n;2;środowisko;;
equality;1;n;3;równość;;
essay;1;n;1;esej;;
European;2;adj;2;europejski;;
event;2;n;2;wydarzenie;;
even-tempered;1;adj;3;zrównoważony;;
exact;2;adj;2;dokładny;;
exceptionally;2;adv;2;wyjątkowo;;
executive;1;n;3;wysokie stanowisko kierownicze;;
exhaustion;1;n;3;wyczerpanie;;
exotic;2;adj;1;egzotyczny;;
expedition;2;n;1;ekspedycja;;
experience;1;n;2;doświadczenie;;
expert;1;n;1;ekspert;;
explorer;2;n;2;badacz;odkrywca;
extensive;2;adj;2;rozległy;obszerny;
extract;1;n;3;fragment, urywek;;
extrovert;1;n;2;ekstrawertyk;;
fame;1;n;2;sława;;
famous;1;adj;1;sławny;;
faraway;2;adj;2;daleki, odległy;;
fashion;1;n;1;moda;;
fault;1;n;2;wina;;
fierce;2;adj;3;dziki, niebezpieczny;;
film director;1;n;1;reżyser;;
firstly;1;adv;1;po pierwsze;;
fit;1;adj;2;wysportowany;;
flexible;1;adj;2;elastyczny;;
foreign;2;adj;2;zagraniczny;;
former;1;adj;3;były, dawny;;
frequently;1;adv;2;często;;
friendly;1;adj;1;przyjazny;przyjacielski;
friendship;2;n;2;przyjaźń;;
gap;1;n;2;luka;;
generous;1;adj;2;szczodry;hojny;
gentle;2;adj;2;delikatny;;
give a talk;1;v;3;wygłosić pogadankę;;
government;2;n;2;rząd;;
great;2;adj;1;wielki;;
habitual;1;adj;2;nawykowy;;
handwriting;1;n;2;pismo odręczne;;
happiness;1;n;1;szczęście;;
hard-working;1;adj;1;pracowity;;
harm;1;n;3;krzywda;;
healthily;1;adv;2;zdrowo;;
heat;1;n;2;upał;;
height;2;n;2;wysokość;;
hiking;1;n;3;piesza wycieczka;;
hill;2;n;1;wzgórze;;
hold-up;2;n;3;zator, korek;;
holidaymaker;2;n;2;urlopowicz;wczasowicz;
holy;2;adj;2;święty;;
home town;2;n;2;miasto rodzinne;;
horoscope;1;n;1;horoskop;;
however;1;adv;3;jednakże;;
hut;2;n;3;szałas;chata;
important;1;adj;2;ważny;;
inconvenience;2;n;3;niedogodność;niewygoda;
incredible;2;adj;2;niesamowity;niewiarygodny;
indecisive;1;adj;3;niezdecydowany;;
independent;1;adj;2;niezależny;;
inevitable;2;adj;2;nieunikniony;;
influence;1;n;2;wpływ;;
inoculation;2;n;3;szczepienie;;
insurance premium;1;n;3;składka ubezpieczeniowa;;
interview;1;n;2;wywiad;;
introvert;1;n;2;introwertyk;;
inventor;1;n;2;wynalazca;;
irregular;2;adj;2;nieregularny;;
island;1;n;2;wyspa;;
Italian;1;adj;1;włoski;;
jealous;1;adj;2;zazdrosny;;
journalist;1;n;2;dziennikarz;;
journey;2;n;2;podróż;;
judgement;1;n;2;osąd;;
jumper;1;n;2;sweter;;
kind;1;adj;2;życzliwy;;
knowledge;1;n;2;wiedza;;
lawyer;1;n;2;prawnik;;
lecturer;1;n;2;wykładowca;;
legendary;2;adj;2;legendarny;;
length;2;n;2;długość;;
level-headed;1;adj;3;opanowany;;
librarian;1;n;2;bibliotekarz;;
likeable;1;adj;2;sympatyczny;;
lion;2;n;1;lew;;
literary;2;adj;2;literacki;;
lively;1;adj;2;żwawy;;
magic;1;n;2;magia;;
main;2;adj;2;główny;;
major;2;adj;2;główny;;
make-up;1;n;2;makijaż;;
male;1;adj;2;męski;;
management;1;n;2;zarządzanie;;
manned;2;adj;3;załogowy;;
mature;1;adj;3;dojrzały;;
measurement;1;n;3;pomiar;;
midnight;2;n;1;północ (godzina);;
minor;1;adj;3;drobny, drugorzędny;;
mirror;1;n;2;lustro;;
misbehaviour;2;n;3;złe zachowanie;;
mission;2;n;1;misja;;
model;1;n;1;model;;
monorail;1;adj;3;jednoszynowy;;
moody;1;adj;2;humorzasty;kapryśny;
movement;1;n;2;ruch;;
museum;2;n;1;muzeum;;
musician;1;n;2;muzyk;;
nationality;1;n;1;narodowość;;
native;2;adj;3;rodzimy;ojczysty;
navy;2;n;3;marynarka wojenna;;
neutral;1;adj;1;neutralny;;
non-violent;1;adj;3;niestosujący przemocy;pokojowy;
nowadays;1;adv;3;w dzisiejszych czasach;;
only child;1;n;3;jedynak;;
open-minded;1;adj;2;wolny od uprzedzeń;o otwartym umyśle;
opportunity;2;n;3;sposobność;okazja;
over-sensitive;1;adj;3;nadwrażliwy;;
package tour;2;n;3;wycieczka zorganizowana;;
page;1;n;1;strona;;
past;2;n;1;przeszłość;;
patient;1;adj;1;cierpliwy;;
pedestrian;1;n;3;przechodzień;;
performance;1;n;3;występ;;
period;2;n;1;okres;;
personality;1;n;2;osobowość;;
phenomenon;2;n;3;zjawisko;;
pilgrimage;2;n;3;pielgrzymka;;
plain;2;n;3;równina;;
pleasure;2;n;2;przyjemność;;
police officer;1;n;1;policjant;;
polite;1;adj;2;uprzejmy;;
politician;1;n;2;polityk;;
politics;1;n;2;polityka;;
popular;2;adj;1;popularny;;
portrait;1;n;2;portret;;
potato;2;n;1;ziemniak;;
prefix;1;n;3;przedrostek;;
pressure;1;n;2;ciśnienie;;
previous;2;adj;2;poprzedni;;
primary school;2;n;1;szkoła podstawowa;;
prison;1;n;2;więzienie;;
prize;2;n;2;nagroda;;
professional;1;adj;1;profesjonalny;;
programmer;1;n;2;programista;;
project;1;n;1;projekt;;
prompt;1;n;3;podpowiedź;;
pronunciation;1;n;2;wymowa;;
property;1;n;3;mienie, majątek;;
psychiatrist;1;n;2;psychiatra;;
psychometrics;1;n;3;psychometria;;
publication;2;n;1;publikacja;;
purpose;1;n;2;cel;;
quiet;1;adj;1;cichy;spokojny;
raft;2;n;3;tratwa;;
rage;1;n;3;wściekłość;;
range;1;n;3;zakres;;
rare;1;adj;2;rzadki;;
reason;1;n;2;powód;;
recruit;2;n;2;rekrut;;
regularly;1;adv;1;regularnie;;
relatively;1;adv;3;stosunkowo;;
relaxation;2;n;2;relaks;odpoczynek;
reliable;1;adj;2;niezawodny;solidny;
religion;2;n;1;religia;;
research;1;n;2;badania naukowe;;
researcher;1;n;2;badacz;;
responsible;1;adj;2;odpowiedzialny;;
risk;1;n;1;ryzyko;;
safe;1;adj;1;bezpieczny;;
salt-flat;2;n;3;słona pustynia;;
sand;2;n;2;piasek;;
schedule;1;n;3;terminarz;harmonogram;
scholar;2;n;3;uczony;;
scholarship;2;n;2;stypendium;;
scissors;1;n;2;nożyczki;;
scuba diving;2;n;3;nurkowanie z akwalungiem;;
seagull;2;n;3;mewa;;
secondly;2;adv;2;po drugie;;
secretary;1;n;1;sekretarz;;
self-confident;1;adj;2;pewny siebie;;
self-sacrifice;1;n;3;poświęcanie się;wyrzeczenie;
semicircle;1;n;3;półkole;;
sense of humour;1;n;2;poczucie humoru;;
sensible;1;adj;2;rozsądny;;
sensitive;1;adj;2;wrażliwy;czuły;
serious;1;adj;2;poważny;;
shark;2;n;1;rekin;;
shy;1;adj;1;nieśmiały;;
sight;2;n;2;widok;wzrok;
sign;1;n;2;znak;;
situation;1;n;1;sytuacja;;
slope;2;n;3;stok;;
smart;1;adj;2;elegancki;;
sociable;1;adj;2;towarzyski;;
society;2;n;2;towarzystwo;;
songwriter;1;n;2;autor piosenek;;
source;1;n;2;źródło;;
spacecraft;2;n;3;statek kosmiczny;;
spare time;2;n;1;wolny czas;;
spatial;1;adj;3;przestrzenny;;
spirit;2;n;2;duch;;
staff;1;n;2;personel, kadra;;
star;1;n;1;gwiazda;;
statement;1;n;2;twierdzenie;;
stereotype;1;n;1;stereotyp;;
strong;2;adj;1;silny;;
strong-willed;1;adj;2;z silną wolą;;
style;1;n;1;styl;;
suggestion;1;n;1;sugestia;propozycja;
suitable;1;adj;2;odpowiedni, nadający się;;
sunset;2;n;2;zachód słońca;;
survey;1;n;3;sondaż;;
suspiciously;2;adv;2;podejrzliwie;;
Swiss;1;adj;2;szwajcarski;;
sympathetic;1;adj;3;współczujący;;
talkative;1;adj;2;rozmowny;gadatliwy;
tangerine;1;n;3;mandarynka;;
taste;1;n;2;smak;;
tax inspector;1;n;2;inspektor podatkowy;;
temporary;1;adj;3;tymczasowy;;
term;1;n;3;termin;określenie;
test pilot;2;n;3;pilot doświadczalny;;
textile plant;2;n;2;zakład tekstylny;;
the Bedu;2;n;3;Beduini;;
theft;2;n;2;kradzież;;
theory;1;n;1;teoria;;
thoroughly;1;adv;3;gruntownie;;
thoughtful;1;adj;3;rozważny;zapobiegliwy;
tip;2;n;2;wskazówka, porada;;
tiring;2;adj;2;męczący;;
to abuse;1;v;3;nadużywać;;
to accompany;2;v;3;towarzyszyć;;
to achieve;1;v;2;osiągnąć;;
to allow;1;v;2;pozwolić;;
to analyse;1;v;1;analizować;;
to announce;2;v;2;ogłosić;;
to annoy;1;v;2;zdenerwować;;
to appear;1;v;2;pojawić się;;
to apply;1;v;2;odnosić się;stosować;
to associate;1;v;3;kojarzyć;;
to attempt;2;v;2;usiłować;;
to attract;2;v;2;przyciągać;;
to avoid;2;v;2;unikać;;
to be hooked;2;v;3;połknąć haczyk;;
to behave;1;v;2;zachowywać się;;
to believe;1;v;2;wierzyć;;
to border;2;v;2;graniczyć ;;
to broaden;2;v;2;poszerzyć;;
to cancel;2;v;2;odwołać coś;;
to carry on;2;v;2;kontynuować;;
to carry out;1;v;3;przeprowadzić;;
to cause;1;v;2;spowodować;;
to choose;1;v;2;wybierać;;
to climb;2;v;2;wspinać się;;
to compare;1;v;2;porównać;;
to consider;1;v;2;rozważać;;
to consist of;1;v;3;składać się z;;
to convince;1;v;2;przekonać;;
to cover;2;v;2;pokryć;;
to criticise;1;v;2;krytykować;;
to damage;1;v;2;uszkodzić;;
to decrease;1;v;2;zmniejszyć;;
to describe;2;v;2;opisać;;
to design;1;v;2;projektować;;
to destroy;1;v;2;zniszczyć;;
to devise;1;v;3;wymyślić;;
to dictate;2;v;1;dyktować;;
to discover;2;v;2;odkryć;;
to discuss;1;v;1;dyskutować;;
to distract;1;v;3;rozpraszać;;
to earn;1;v;2;zarabiać;;
to emigrate;1;v;1;emigrować;;
to employ;1;v;2;zatrudnić;;
to encourage;1;v;3;zachęcać;;
to enjoy;1;v;1;cieszyć się z czegoś;;
to equal;1;v;2;równać się;;
to explore;2;v;3;zwiedzać;badać;
to fall in love;2;v;2;zakochać się;;
to fall over;2;v;3;przewrócić się;;
to fascinate;2;v;1;fascynować;;
to feed;2;v;2;karmić;;
to find out;2;v;3;dowiedzieć się;;
to fire sb;2;v;2;zwolnić kogoś z pracy;;
to focus on;2;v;2;skupiać się na czymś;;
to get back;2;v;2;wrócić;;
to get on with sb;2;v;3;dobrze się dogadywać;dogadywać się z kimś;
to give up;1;v;3;zaniechać, porzucić;;
to graduate;1;v;2;ukończyć (szkołę);;
to greet;1;v;2;przywitać;;
to highlight;1;v;3;wyróżnić (markerem);;
to imagine;1;v;2;wyobrazić sobie;;
to increase;1;v;2;zwiększyć;;
to inhabit;2;v;3;zamieszkiwać;zasiedlać;
to inspire;1;v;1;inspirować;;
to interfere;1;v;2;wtrącać się, zakłócać;;
to introduce;1;v;2;przedstawić (kogoś);;
to invent;1;v;2;wynaleźć;;
to involve;1;v;3;wiązać się z, dotyczyć;;
to judge;1;v;3;sądzić;;
to justify;2;v;3;uzasadnić;;
to lack;1;v;2;brakować;;
to lift off;2;v;3;wystartować (o rakiecie);;
to look after;2;v;3;opiekować się;;
to lose temper;1;v;2;stracić panowanie nad sobą;;
to matter;1;v;2;mieć znaczenie;;
to measure;1;v;2;mierzyć;;
to mention;1;v;2;wymienić, wspomnieć;;
to misunderstand;1;v;3;źle zrozumieć;;
to misuse;1;v;2;niewłaściwie używać;;
to obtain;2;v;2;uzyskać;;
to offer;1;v;1;oferować;;
to organise;2;v;1;organizować;;
to outperform;1;v;3;przewyższyć w działaniu;;
to overrate;1;v;3;przeceniać;;
to overtake;1;v;3;wyprzedzać (samochodem);;
to parachute;2;v;3;skakać ze spadochronem;;
to pass;2;v;1;zdać;;
to pass out;1;v;3;zemdleć;;
to point out;1;v;3;zauważyć;;
to portray;1;v;3;ukazywać;zagrać kogoś;
to possess;1;v;2;posiadać;;
to praise;2;v;2;chwalić kogoś;;
to prepare;1;v;2;przygotować;;
to prove;2;v;2;udowodnić;;
to reach;2;v;2;osiągnąć, dotrzeć;;
to realise;2;v;2;uświadomić sobie;;
to recognise;1;v;2;rozpoznać;;
to redefine;1;v;2;przedefiniować;;
to regard;1;v;3;uważać za;;
to regret;1;v;2;żałować;;
to require;2;v;2;wymagać;;
to respect;2;v;2;szanować;;
to satisfy;2;v;3;zaspokajać;;
to set out;2;v;3;wyruszyć;;
to shape;1;v;2;kształtować;;
to share;1;v;2;dzielić się czymś;;
to shelter;2;v;3;schronić się;;
to shoot;2;v;2;strzelać;;
to solve;1;v;2;rozwiązać;;
to spoon-feed;1;v;3;karmić łyżką;;
to stop off;2;v;3;zatrzymać się po drodze;przerwać podróż;
to stretch;2;v;3;rozciągać (się);;
to succeed;1;v;2;odnieść sukces;;
to suit;1;v;2;odpowiadać (komuś);;
to sum up;1;v;1;podsumować;;
to summarise;2;v;2;podsumować;;
to support;1;v;2;wspierać;;
to surround;1;v;2;otaczać;;
to survive;2;v;2;ocaleć;przeżyć;
to take off;2;v;2;startować (o samolocie);;
to take up;2;v;3;zająć się czymś;;
to trust;1;v;2;ufać;;
to underline;1;v;2;podkreślić;;
to upset;1;v;2;wzburzyć;;
to value;1;v;3;cenić;;
to worry;1;v;2;martwić się;;
tobacco;2;n;3;tytoń;;
toe;1;n;1;palec stopy;;
trap;2;n;2;pułapka;;
treasure;2;n;2;skarb;;
trouble;2;n;2;kłopot;;
twin;1;n;2;bliźniak;;
tycoon;1;n;3;potentat;;
undoubtedly;1;adv;3;niewątpliwie;;
unfortunately;1;adv;3;niestety;;
unique;1;adj;2;unikalny;;
urge;2;n;3;pragnienie, chęć;;
useful;1;adj;2;przydatny;;
vacancy;2;n;3;wakat;;
varied;2;adj;3;zróżnicowany;;
vast;2;adj;3;rozległy;;
vegetarian;1;adj;2;wegetariański;;
verb;1;n;2;czasownik;;
view;1;n;2;pogląd;;
vision;1;n;1;wizja;;
vital;1;adj;2;istotny;;
voice;1;n;1;głos;;
walking stick;2;n;3;laska;;
warm-hearted;1;adj;2;serdeczny;;
whale;2;n;1;wieloryb;;
wheelchair;1;n;3;wózek inwalidzki;;
wisdom;1;n;2;mądrość;;
writer;2;n;1;pisarz;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
