WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
s³awny;1;adj;2;famous;;;;;
szybki;1;adj;2;fast;;;;;
ulubiony;1;adj;1;favourite;;;;;
uczucie;2;n;1;feeling;;;;;
¿eñski;2;adj;2;female;;;;;
re¿yser;2;n;2;film director;;;;;
w koñcu;2;adv;3;finally;;;;;
pierwszy;1;adj;1;first;;;;;
lot;2;n;2;flight;;;;;
zwolennik;1;n;3;follower;;;;;
nastêpuj¹cy;2;adj;3;following;;;;;
¿ywnoœæ;1;n;1;food;;;;;
futbol;1;n;1;football;;;;;
czêstotliwoœæ;1;n;3;frequency;;;;;
œwie¿y;1;adj;2;fresh;;;;;
przyjaciel;1;n;1;friend;;;;;
zabawa;1;n;1;fun;;;;;
zabawny;2;adj;1;funny;;;;;
meble;1;n;2;furniture;;;;;
przysz³oœæ;1;n;2;future;;;;;
gra;1;n;1;game;;;;;
niemiecki;2;adj;1;German;;;;;
globalny;1;adj;2;global;;;;;
s³owniczek;1;n;3;glossary;;;;;
z³oto;2;n;1;gold;;;;;
golf;1;n;1;golf;;;;;
rz¹d (pañstwa);1;n;2;government;;;;;
gramatyka;1;n;2;grammar;;;;;
sala gimnastyczna;1;n;2;gym;;;;;
nawyk;1;n;2;habit;;;;;
uchwyt;1;n;2;handle;stylisko;r¹czka;;;
dyrektor szko³y;1;n;3;head teacher;;;;;
bohater;1;n;2;hero;;;;;
wysoki;1;adj;1;high;;;;;
historia;1;n;1;history;;;;;
hokej;1;n;2;hockey;;;;;
dziura;1;n;2;hole;;;;;
wakacje;2;n;1;holiday;;;;;
szpital;1;n;1;hospital;;;;;
gor¹cy;2;adj;1;hot;;;;;
godzina;1;n;1;hour;;;;;
jednak;1;adv;3;however;;;;;
olbrzymi;1;adj;2;huge;;;;;
sto;1;n;1;hundred;;;;;
³y¿wiarz;1;n;2;ice-skater;;;;;
pomys³;1;n;2;idea;;;;;
imigrant;1;n;2;immigrant;;;;;
urzêdnik biura imigracyjnego;2;n;3;immigration officer;;;;;
nieœmiertelny;1;adj;3;immortal;;;;;
wa¿ny;1;adj;2;important;;;;;
Indie;1;n;2;India;;;;;
bezokolicznik;2;n;2;infinitive;;;;;
informacja;2;n;1;information;;;;;
kontuzja;1;n;3;injury;;;;;
zainteresowanie;1;n;1;interest;;;;;
interesuj¹cy;1;adj;1;interesting;;;;;
miêdzynarodowy;1;adj;2;international;;;;;
wywiad;1;n;2;interview;;;;;
wynalazek;2;n;2;invention;;;;;
wynalazca;2;n;2;inventor;;;;;
nieregularny;2;adj;2;irregular;;;;;
wyspa;2;n;2;island;;;;;
w³oski;1;adj;2;Italian;;;;;
japoñski;2;adj;2;Japanese;;;;;
zawód;1;n;2;job;praca, zajêcie;;;;
podró¿;1;n;2;journey;;;;;
sêdzia;1;n;2;judge;;;;;
rodzaj;1;n;1;kind;;;;;
jêzyk;1;n;2;language;;;;;
du¿y;1;adj;2;large;;;;;
spóŸniony;1;adj;2;late;;;;;
liga;1;n;2;league;;;;;
czas wolny;1;n;2;leisure;;;;;
lekcja;1;n;1;lesson;;;;;
litera;1;n;1;letter;list;;;;
po³¹czyæ;2;v;3;to link;powi¹zaæ;;;;
muzyka na ¿ywo;1;n;2;live music;;;;;
lokalny;1;adj;2;local;;;;;
samotny;2;adj;2;lonely;;;;;
d³ugi;1;adj;1;long;;;;;
baga¿;2;n;2;luggage;;;;;
g³ówny;2;adj;2;main;;;;;
g³ównie;1;adv;3;mainly;;;;;
kierownik;1;n;2;manager;;;;;
maraton;1;n;2;marathon;;;;;
szklane kulki;1;n;3;marbles;marmury;;;;
w miêdzyczasie;2;adv;3;meanwhile;;;;;
medal;2;n;1;medal;;;;;
wspomnienie;2;n;3;memory;;;;;
wiadomoœæ;1;n;2;message;;;;;
metalowy;1;adj;2;metal;;;;;
pó³noc (godzina);1;n;2;midnight;;;;;
minuta;1;n;1;minute;;;;;
mieszanina;1;n;2;mixture;;;;;
nowoczesny;2;adj;2;modern;;;;;
pieni¹dze;1;n;1;money;;;;;
monsun;1;n;3;monsoon;;;;;
nastrój;2;n;2;mood;;;;;
poranek;1;n;1;morning;;;;;
matka;1;n;1;mother;;;;;
jêzyk ojczysty;2;n;3;mother tongue;;;;;
autostrada;2;n;2;motorway;;;;;
muzyczny;1;adj;1;musical;;;;;
muzyk;1;n;1;musician;;;;;
relacja;2;n;3;narrative;;;;;
prawie;2;adv;2;nearly;;;;;
nigdy;1;adv;1;never;;;;;
nowy;1;adj;1;new;;;;;
przezwisko;1;n;3;nickname;;;;;
normalnie;1;adv;2;normally;;;;;
pó³noc (geograficzna);1;n;1;north;;;;;
notatka;2;n;3;note;;;;;
dope³nienie;2;n;3;object;;;;;
okazjonalnie;1;adv;2;occasionally;;;;;
paŸdziernik;1;n;1;October;;;;;
czêsto;1;adv;1;often;;;;;
stary;1;adj;1;old;;;;;
raz;1;adv;2;once;;;;;
tylko;1;adv;1;only;;;;;
kolejnoœæ;1;n;2;order;;;;;
oryginalny;1;adj;2;original;;;;;
inny;1;adj;2;other;;;;;
talia kart;1;n;2;pack of cards;;;;;
strona;1;n;2;page;;;;;
para;1;n;1;pair;dwie osoby, rzeczy;;;;
akapit;1;n;2;paragraph;paragraf;;;;
park;1;n;1;park;;;;;
czêœæ;1;n;1;part;;;;;
partner;1;n;1;partner;;;;;
paszport;2;n;2;passport;;;;;
œcie¿ka;2;n;3;path;tor;;;;
okres;1;n;2;period;;;;;
osoba;1;n;1;person;;;;;
zwierz¹tko domowe;1;n;1;pet;;;;;
telefon;1;n;1;phone;;;;;
fotografia;2;n;2;photo;;;;;
fraza;1;n;2;phrase;;;;;
fortepian;1;n;1;piano;;;;;
pionek;1;n;2;piece;;;;;
miejsce;1;n;1;place;;;;;
samolot;2;n;2;plane;;;;;
plastikowy;1;adj;2;plastic;;;;;
gracz;1;n;1;player;;;;;
ankieta;1;n;3;poll;sonda¿;;;;
biedny;1;adj;1;poor;;;;;
popularny;2;adj;1;popular;;;;;
populacja;1;n;2;population;;;;;
posiadana rzecz;1;n;3;possession;posiadanie;w³asnoœæ;;;
przygotowanie;1;n;2;preparation;;;;;
prezydent;2;n;1;president;;;;;
zawodowy;1;adj;2;professional;profesjonalny;;;;
program;2;n;2;programme;;;;;
podpowiedŸ;1;n;3;prompt;;;;;
wymowa;1;n;3;pronunciation;;;;;
w³aœciwie;1;adv;3;properly;;;;;
publiczny;1;adj;2;public;;;;;
zagadka;1;n;2;puzzle;³amig³ówka;;;;
pytanie;1;n;1;question;;;;;
rakieta (tenisowa);1;n;2;racket;;;;;
deszcz;1;n;2;rain;;;;;
realny;1;adj;2;real;prawdziwy;;;;
naprawdê;2;adv;2;really;;;;;
powód;1;n;2;reason;;;;;
nagrywarka;2;n;2;recorder;;;;;
regularny;2;adj;1;regular;;;;;
regularnie;1;adv;1;regularly;;;;;
stosunek;1;n;2;relation;relacja;;;;
zrelaksowany;2;adj;2;relaxed;;;;;
restauracja;1;n;2;restaurant;;;;;
wynik;1;n;2;result;rezultat;;;;
powtórka;1;n;2;revision;;;;;
prawo;2;n;2;right;;;;;
rutyna;1;n;2;routine;;;;;
zasada;1;n;2;rule;;;;;
smutny;2;adj;1;sad;;;;;
taki sam;1;adj;2;same;;;;;
satelita;2;n;2;satellite;;;;;
saksofon;1;n;2;saxophone;;;;;
skala;2;n;2;scale;;;;;
przestraszony;1;adj;2;scared;;;;;
szko³a;1;n;1;school;;;;;
wynik punktowy;1;n;2;score;;;;;
pora roku;1;n;2;season;sezon;;;;
drugi;2;adj;1;second;;;;;
sekretarz;2;n;2;secretary;;;;;
but;1;n;1;shoe;;;;;
znak;2;n;2;sign;;;;;
podobny;1;adj;2;similar;;;;;
piosenkarz;1;n;1;singer;;;;;
siostra;1;n;1;sister;;;;;
sytuacja;2;n;1;situation;;;;;
spo³eczeñstwo;2;n;3;society;;;;;
czasami;1;adv;1;sometimes;;;;;
przestrzeñ;2;n;2;space;;;;;
paj¹k;2;n;3;spider;;;;;
sport;1;n;1;sport;;;;;
sportowiec;1;n;1;sportsman;;;;;
punkt;1;n;2;spot;;;;;
twierdzenie;1;n;3;statement;;;;;
palant;1;n;3;stickball;;;;;
dziwny;2;adj;2;strange;obcy;;;;
nieznajomy;1;n;2;stranger;;;;;
strategia;1;n;2;strategy;;;;;
akcentowany;1;adj;3;stressed;zestresowany;;;;
podmiot;2;n;3;subject;;;;;
walizka;1;n;2;suitcase;;;;;
zaskoczony;2;adj;2;surprised;;;;;
sonda¿;1;n;3;survey;;;;;
przetrwanie;2;n;3;survival;;;;;
basen;1;n;1;swimming pool;;;;;
sylaba;2;n;2;syllable;;;;;
wysoki;1;adj;1;tall;;;;;
zadanie;1;n;2;task;;;;;
nauczyciel;1;n;1;teacher;;;;;
dru¿yna;1;n;2;team;;;;;
technika;2;n;2;technology;;;;;
telewizja;2;n;1;television;;;;;
telewizor;2;n;2;television set;;;;;
tenis;1;n;2;tennis;;;;;
czwartek;1;n;1;Thursday;;;;;
zmêczony;1;adj;2;tired;;;;;
tytu³;2;n;2;title;;;;;
dodaæ;1;v;2;to add;;;;;
zgadzaæ siê;1;v;2;to agree;;;;;
pojawiæ siê;2;v;2;to appear;;;;;
przybyæ;2;v;2;to arrive;;;;;
kojarzyæ;1;v;3;to associate;;;;;
staæ siê;2;v;2;to become;;;;;
rozpocz¹æ;1;v;1;to begin;;;;;
zacz¹æ;2;v;1;to begin;;;;;
wierzyæ;2;v;2;to believe;;;;;
zarezerwowaæ;2;v;2;to book;;;;;
boksowaæ;1;v;2;to box;;;;;
przynieœæ;2;v;2;to bring;;;;;
nadawaæ program;2;v;3;to broadcast;;;;;
kupiæ;2;v;2;to buy;;;;;
odwo³aæ;2;v;3;to cancel;;;;;
zmieniæ;2;v;1;to change;;;;;
sprawdziæ;1;v;2;to check;;;;;
wybraæ;1;v;2;to choose;;;;;
wspinaæ siê;2;v;3;to climb;;;;;
zbieraæ;1;v;2;to collect;;;;;
pochodziæ z;1;v;2;to come from;;;;;
porównaæ;1;v;2;to compare;;;;;
uzupe³niæ;1;v;2;to complete;dokoñczyæ;;;;
konsumowaæ;1;v;2;to consume;;;;;
kontynuowaæ;1;v;2;to continue;;;;;
gotowaæ;1;v;1;to cook;;;;;
skreœliæ;1;v;3;to cross;przekroczyæ;;;;
jeŸdziæ na rowerze;1;v;2;to cycle;;;;;
decydowaæ;1;v;2;to decide;;;;;
opisaæ;1;v;2;to describe;;;;;
projektowaæ;2;v;2;to design;;;;;
rozwijaæ;2;v;2;to develop;;;;;
umrzeæ;2;v;2;to die;;;;;
nie zgadzaæ siê;1;v;2;to disagree;;;;;
dyskutowaæ;1;v;2;to discuss;;;;;
piæ;1;v;1;to drink;;;;;
prowadziæ samochód;2;v;1;to drive;;;;;
zarabiaæ;1;v;2;to earn;;;;;
czerpaæ przyjemnoœæ;2;v;2;to enjoy;;;;;
uciec;2;v;2;to escape;;;;;
czuæ;1;v;2;to feel;;;;;
walczyæ;1;v;2;to fight;;;;;
dowiedzieæ siê;1;v;3;to find out;;;;;
pasowaæ;2;v;3;to fit;;;;;
lecieæ;2;v;2;to fly;;;;;
zapomnieæ;2;v;2;to forget;;;;;
wstawaæ z ³ó¿ka;1;v;2;to get up;;;;;
zwiedzaæ;2;v;3;to go sightseeing;;;;;
zgadn¹æ;1;v;2;to guess;;;;;
zdarzyæ siê;2;v;2;to happen;;;;;
nienawidzieæ;1;v;1;to hate;;;;;
s³yszeæ;1;v;1;to hear;;;;;
pomóc;1;v;1;to help;;;;;
uderzyæ;1;v;2;to hit;;;;;
trzymaæ;1;v;2;to hold;;;;;
zawieraæ;1;v;3;to include;;;;;
przedstawiæ siê;2;v;2;to introduce;;;;;
wynaleŸæ;2;v;2;to invent;;;;;
kopn¹æ;1;v;1;to kick;;;;;
znaæ;1;v;1;to know;wiedzieæ;;;;
trwaæ;1;v;3;to last;;;;;
uczyæ siê;2;v;1;to learn;;;;;
lubiæ;1;v;1;to like;;;;;
s³uchaæ;1;v;1;to listen;;;;;
zgubiæ;2;v;2;to lose;straciæ;;;;
zaznaczyæ;2;v;3;to mark;;;;;
dopasowaæ;1;v;2;to match;;;;;
spotkaæ;1;v;2;to meet;poznaæ;;;;
mieæ coœ przeciw;1;v;2;to mind;;;;;
têskniæ;1;v;2;to miss;;;;;
ruszaæ;1;v;2;to move;;;;;
potrzebowaæ;1;v;2;to need;;;;;
zauwa¿yæ;1;v;2;to notice;;;;;
otworzyæ;1;v;1;to open;;;;;
organizowaæ;1;v;2;to organise;;;;;
wywodziæ siê, zapocz¹tkowaæ;1;v;3;to originate;;;;;
p³aciæ;2;v;2;to pay;;;;;
graæ;1;v;1;to play;;;;;
æwiczyæ;1;v;2;to practise;;;;;
preferowaæ;1;v;2;to prefer;;;;;
nacisn¹æ;1;v;2;to press;;;;;
dostarczyæ;1;v;2;to provide;;;;;
dotrzeæ;1;v;2;to reach;;;;;
czytaæ;1;v;1;to read;;;;;
nagraæ, zapisaæ;1;v;2;to record;;;;;
pamiêtaæ;2;v;2;to remember;;;;;
wynikaæ;1;v;3;to result;;;;;
przepisaæ;2;v;2;to rewrite;;;;;
biec;1;v;1;to run;;;;;
zaoszczêdziæ;2;v;3;to save up;;;;;
zdobyæ bramkê;1;v;3;to score a goal;strzeliæ gola;;;;
szukaæ;1;v;2;to search;;;;;
sprzedaæ;1;v;2;to sell;;;;;
wys³aæ;1;v;1;to send;;;;;
dzieliæ siê czymœ;1;v;2;to share;;;;;
œpiewaæ;1;v;1;to sing;;;;;
spaæ;2;v;1;to sleep;;;;;
zacz¹æ;1;v;1;to start;;;;;
studiowaæ;1;v;2;to study;;;;;
p³ywaæ;1;v;1;to swim;;;;;
wzi¹æ udzia³;1;v;3;to take part;;;;;
robiæ coœ na zmianê;2;v;3;to take turns;;;;;
opowiedzieæ historiê;2;v;3;to tell a story;;;;;
myœleæ;1;v;1;to think;;;;;
rzuciæ;1;v;2;to throw;;;;;
odfajkowaæ;1;v;3;to tick;;;;;
trenowaæ;1;v;2;to train;szkoliæ;;;;
transmitowaæ;2;v;3;to transmit;;;;;
próbowaæ;1;v;2;to try;;;;;
podkreœliæ;1;v;2;to underline;;;;;
rozumieæ;1;v;1;to understand;;;;;
u¿yæ;1;v;2;to use;;;;;
ogl¹daæ;1;v;2;to view;;;;;
g³osowaæ;2;v;3;to vote;;;;;
chcieæ;1;v;1;to want;;;;;
ogl¹daæ;1;v;1;to watch;;;;;
wa¿yæ;1;v;2;to weigh;;;;;
zwyciê¿yæ;2;v;2;to win;;;;;
pracowaæ;1;v;1;to work;;;;;
maksymalna prêdkoœæ;2;n;3;top speed;;;;;
turysta;2;n;1;tourist;;;;;
tradycyjny;1;adj;2;traditional;;;;;
wycieczka;2;n;2;trip;;;;;
prawdziwy;1;adj;1;true;;;;;
wtorek;1;n;1;Tuesday;;;;;
dwukrotnie;1;adv;2;twice;;;;;
uniwersytet;1;n;2;university;;;;;
niezwyk³y;1;adj;2;unusual;;;;;
przydatny;1;adj;1;useful;;;;;
zazwczaj;1;adv;1;usually;;;;;
czasownik;1;n;3;verb;;;;;
wersja;1;n;2;version;;;;;
s³ownictwo;1;n;2;vocabulary;;;;;
siatkówka (sport);1;n;2;volleyball;;;;;
strata;1;n;2;waste;;;;;
woda;1;n;1;water;;;;;
sposób;1;n;2;way;droga;;;;
pogoda;1;n;2;weather;;;;;
œlub;2;n;2;wedding;;;;;
bia³y;1;adj;1;white;;;;;
okno;1;n;1;window;;;;;
zwyciêzca;1;n;1;winner;;;;;
kobieta;1;n;1;woman;;;;;
s³owo;1;n;1;word;;;;;
szyk zdania;2;n;3;word order;;;;;
œwiat;1;n;1;world;;;;;
zmartwiony;2;adj;2;worried;;;;;
